Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26 00:00:00,20.49,20.53,20.34,20.36,186192.91,20.36
2017-04-25 00:00:00,20.44,20.63,20.4,20.55,136163.42,20.55
2017-04-24 00:00:00,20.68,20.69,20.31,20.43,180092.95,20.43
2017-04-21 00:00:00,20.64,20.75,20.55,20.68,208444.56,20.68
2017-04-20 00:00:00,20.5,20.75,20.5,20.63,248213.78,20.63
2017-04-19 00:00:00,20.45,20.62,20.3,20.53,196327.59,20.53
2017-04-18 00:00:00,20.56,20.65,20.46,20.47,135988.81,20.47
2017-04-17 00:00:00,20.64,20.64,20.37,20.56,163623.62,20.56
2017-04-14 00:00:00,20.92,20.92,20.6,20.64,218505.95,20.64
2017-04-13 00:00:00,21.0,21.15,20.72,20.94,269101.41,20.94
2017-04-12 00:00:00,20.7,21.57,20.7,21.02,645855.38,21.02
2017-04-11 00:00:00,20.6,20.7,20.2,20.7,458860.16,20.7
2017-04-10 00:00:00,20.72,20.75,20.51,20.6,274599.41,20.6
2017-04-07 00:00:00,20.79,20.91,20.67,20.8,313906.38,20.8
2017-04-06 00:00:00,20.63,20.85,20.58,20.79,533712.94,20.79
2017-04-05 00:00:00,20.63,21.0,20.55,20.58,851996.75,20.58
2017-03-31 00:00:00,20.53,20.64,20.51,20.58,153297.08,20.58
2017-03-30 00:00:00,21.0,21.06,20.48,20.53,317640.41,20.53
2017-03-29 00:00:00,21.28,21.29,21.0,21.01,231035.59,21.01
2017-03-28 00:00:00,21.2,21.43,21.02,21.27,258551.77,21.27
2017-03-27 00:00:00,21.58,21.6,21.1,21.2,394654.72,21.2
2017-03-24 00:00:00,21.4,21.69,21.3,21.49,384483.44,21.49
2017-03-23 00:00:00,21.08,21.91,20.96,21.45,534906.31,21.45
2017-03-22 00:00:00,21.15,21.17,20.95,21.07,243581.36,21.07
2017-03-21 00:00:00,21.01,21.34,20.82,21.18,288242.97,21.18
2017-03-20 00:00:00,21.49,21.49,20.85,21.13,555865.12,21.13
2017-03-17 00:00:00,22.0,22.28,21.5,21.54,789146.56,21.54
2017-03-16 00:00:00,21.41,21.68,21.13,21.27,516623.91,21.27
2017-03-15 00:00:00,21.36,21.57,21.0,21.29,506426.69,21.29
2017-03-14 00:00:00,20.81,22.4,20.72,21.57,1209940.38,21.57
2017-03-13 00:00:00,20.65,20.88,20.51,20.71,419235.12,20.71
2017-03-10 00:00:00,20.52,20.75,20.52,20.6,236308.44,20.6
2017-03-09 00:00:00,20.6,20.73,20.35,20.51,246039.12,20.51
2017-03-08 00:00:00,20.27,20.85,20.26,20.72,657862.44,20.72
2017-03-07 00:00:00,20.24,20.29,20.18,20.26,181572.23,20.26
2017-03-06 00:00:00,20.25,20.39,20.14,20.22,276336.97,20.22
2017-03-03 00:00:00,20.34,20.37,20.12,20.2,170260.59,20.2
2017-03-02 00:00:00,20.52,20.54,20.33,20.34,222827.0,20.34
2017-03-01 00:00:00,20.55,20.59,20.49,20.5,250601.2,20.5
2017-02-28 00:00:00,20.52,20.59,20.47,20.53,159762.2,20.53
2017-02-27 00:00:00,20.57,20.63,20.48,20.52,293446.56,20.52
2017-02-24 00:00:00,20.72,20.77,20.62,20.72,217539.88,20.72
2017-02-23 00:00:00,20.94,20.98,20.72,20.79,191637.66,20.79
2017-02-22 00:00:00,20.95,20.95,20.79,20.9,225366.08,20.9
2017-02-21 00:00:00,20.72,20.98,20.63,20.98,536856.75,20.98
2017-02-20 00:00:00,20.55,20.73,20.52,20.61,247483.48,20.61
2017-02-17 00:00:00,20.68,20.68,20.52,20.54,198142.08,20.54
2017-02-16 00:00:00,20.67,20.76,20.59,20.68,171054.5,20.68
2017-02-15 00:00:00,20.9,20.9,20.66,20.67,287322.56,20.67
2017-02-14 00:00:00,20.77,20.98,20.7,20.91,369763.69,20.91
2017-02-13 00:00:00,20.65,20.85,20.59,20.77,285171.5,20.77
2017-02-10 00:00:00,20.78,20.78,20.57,20.66,334926.09,20.66
2017-02-09 00:00:00,20.71,21.35,20.68,20.8,679248.75,20.8
2017-02-08 00:00:00,20.64,20.71,20.5,20.69,180081.69,20.69
2017-02-07 00:00:00,20.59,20.82,20.56,20.64,174076.59,20.64
2017-02-06 00:00:00,20.68,20.74,20.6,20.71,141028.06,20.71
2017-02-03 00:00:00,20.69,20.79,20.64,20.68,108926.58,20.68
2017-02-02 00:00:00,21.1,22.75,21.1,22.75,599.0,
2017-01-26 00:00:00,20.65,20.77,20.65,20.68,141248.23,20.68
2017-01-25 00:00:00,20.68,20.73,20.52,20.61,154647.45,20.61
2017-01-24 00:00:00,20.77,20.8,20.65,20.69,159318.41,20.69
2017-01-23 00:00:00,20.7,20.85,20.7,20.74,156373.06,20.74
2017-01-20 00:00:00,20.6,20.83,20.54,20.68,215053.12,20.68
2017-01-19 00:00:00,20.7,20.88,20.55,20.6,216888.06,20.6
2017-01-18 00:00:00,20.67,21.18,20.53,20.92,324772.25,20.92
2017-01-17 00:00:00,20.73,20.96,20.39,20.8,321040.41,20.8
2017-01-16 00:00:00,21.81,21.81,20.31,21.0,553240.12,21.0
2017-01-13 00:00:00,21.0,22.4,20.9,21.81,1064266.38,21.81
2017-01-11 00:00:00,20.52,20.63,20.4,20.4,168652.2,20.4
2017-01-10 00:00:00,20.67,20.69,20.52,20.58,159171.48,20.58
2017-01-09 00:00:00,20.6,20.75,20.53,20.66,150954.45,20.66
2017-01-06 00:00:00,20.94,21.04,20.61,20.64,235919.55,20.64
2017-01-05 00:00:00,20.85,21.23,20.78,20.93,310125.62,20.93
2017-01-04 00:00:00,20.74,20.95,20.45,20.85,331554.81,20.85
2017-01-03 00:00:00,20.55,20.88,20.55,20.73,217016.69,20.73
2016-12-30 00:00:00,20.88,20.96,20.45,20.55,261150.0,20.55
2016-12-29 00:00:00,21.29,21.32,20.7,20.84,322046.0,20.84
2016-12-28 00:00:00,21.24,21.48,21.01,21.2,321517.31,21.2
2016-12-27 00:00:00,20.65,21.98,20.59,21.42,743305.44,21.42
2016-12-26 00:00:00,20.21,20.69,20.12,20.65,378124.81,20.65
2016-12-23 00:00:00,20.47,20.67,20.25,20.3,324359.09,20.3
2016-12-22 00:00:00,20.3,20.77,20.1,20.61,499717.25,20.61
2016-12-21 00:00:00,20.2,20.7,20.2,20.48,531304.06,20.48
2016-12-20 00:00:00,21.0,21.0,20.15,20.33,719065.44,20.33
2016-12-19 00:00:00,22.0,22.0,21.04,21.1,700484.94,21.1
2016-12-16 00:00:00,22.12,22.75,22.12,22.46,293976.19,22.46
2016-12-15 00:00:00,22.15,22.62,21.88,22.33,355628.69,22.33
2016-12-14 00:00:00,22.67,22.9,22.2,22.29,412814.56,22.29
2016-12-13 00:00:00,23.02,23.28,21.86,23.06,484500.97,23.06
2016-12-12 00:00:00,24.78,24.78,23.07,23.26,789019.44,23.26
2016-12-09 00:00:00,24.61,25.17,24.37,24.81,481680.44,24.81
