Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26 00:00:00,16.0,16.11,15.87,15.92,60748.5,15.92
2017-04-25 00:00:00,15.9,16.09,15.81,15.98,80791.7,15.98
2017-04-24 00:00:00,16.28,16.29,15.74,15.84,93848.35,15.84
2017-04-21 00:00:00,16.39,16.4,16.16,16.27,79269.78,16.27
2017-04-20 00:00:00,16.08,16.47,16.05,16.44,153951.27,16.44
2017-04-19 00:00:00,15.99,16.12,15.64,16.05,131540.56,16.05
2017-04-18 00:00:00,15.95,16.16,15.95,15.97,84617.84,15.97
2017-04-17 00:00:00,16.15,16.26,15.91,15.97,98626.24,15.97
2017-04-14 00:00:00,16.63,16.7,16.24,16.26,180610.3,16.26
2017-04-13 00:00:00,16.48,16.85,16.39,16.7,407215.25,16.7
2017-04-12 00:00:00,16.63,16.95,16.32,16.71,487196.41,16.71
2017-04-11 00:00:00,15.94,16.04,15.55,16.03,152620.97,16.03
2017-04-10 00:00:00,16.11,16.19,15.88,15.95,94308.58,15.95
2017-04-07 00:00:00,16.01,16.25,15.91,16.17,86222.99,16.17
2017-04-06 00:00:00,15.99,16.14,15.95,16.01,94960.68,16.01
2017-04-05 00:00:00,16.0,16.11,15.94,15.98,99345.33,15.98
2017-03-31 00:00:00,15.83,16.05,15.78,15.94,75946.59,15.94
2017-03-30 00:00:00,16.08,16.1,15.69,15.83,81445.09,15.83
2017-03-29 00:00:00,16.03,16.43,15.9,16.09,153394.41,16.09
2017-03-28 00:00:00,16.18,16.18,15.82,15.98,82774.23,15.98
2017-03-27 00:00:00,16.42,16.71,16.12,16.2,128208.94,16.2
2017-03-24 00:00:00,16.01,16.45,15.96,16.41,137361.16,16.41
2017-03-23 00:00:00,15.9,16.15,15.72,16.0,103566.16,16.0
2017-03-22 00:00:00,16.17,16.18,15.95,15.96,76511.73,15.96
2017-03-21 00:00:00,16.17,16.35,16.1,16.25,73733.65,16.25
2017-03-20 00:00:00,16.16,16.23,15.98,16.22,76253.65,16.22
2017-03-17 00:00:00,16.28,16.36,16.13,16.16,78301.22,16.16
2017-03-16 00:00:00,16.18,16.29,16.0,16.28,83747.68,16.28
2017-03-15 00:00:00,16.12,16.35,16.03,16.19,91776.67,16.19
2017-03-14 00:00:00,16.14,16.25,15.88,16.09,116943.45,16.09
2017-03-13 00:00:00,15.61,16.35,15.45,16.2,314236.19,16.2
2017-03-10 00:00:00,15.2,15.26,15.13,15.19,44958.65,15.19
2017-03-09 00:00:00,14.99,15.25,14.99,15.24,134285.45,15.24
2017-03-08 00:00:00,15.03,15.03,14.93,14.96,20423.72,14.96
2017-03-07 00:00:00,15.1,15.1,14.95,15.03,30288.37,15.03
2017-03-06 00:00:00,14.9,15.16,14.9,15.08,60689.22,15.08
2017-03-03 00:00:00,14.84,14.99,14.72,14.94,43044.19,14.94
2017-03-02 00:00:00,15.08,15.09,14.85,14.9,49601.48,14.9
2017-03-01 00:00:00,15.0,15.18,15.0,15.02,38838.77,15.02
2017-02-28 00:00:00,14.97,15.1,14.93,15.03,52345.01,15.03
2017-02-27 00:00:00,15.21,15.25,14.92,14.94,73263.23,14.94
2017-02-24 00:00:00,15.2,15.69,15.02,15.35,127311.54,15.35
2017-02-23 00:00:00,14.86,15.29,14.85,15.27,150214.38,15.27
2017-02-22 00:00:00,14.78,14.92,14.78,14.86,47451.51,14.86
2017-02-21 00:00:00,14.75,14.84,14.66,14.84,70988.4,14.84
2017-02-20 00:00:00,14.36,14.75,14.34,14.73,95777.26,14.73
2017-02-17 00:00:00,14.48,14.51,14.32,14.33,49267.88,14.33
2017-02-16 00:00:00,14.46,14.52,14.42,14.48,42113.15,14.48
2017-02-15 00:00:00,14.52,14.56,14.43,14.44,67750.16,14.44
2017-02-14 00:00:00,14.6,14.65,14.5,14.55,39621.13,14.55
2017-02-13 00:00:00,14.57,14.66,14.53,14.6,37705.9,14.6
2017-02-10 00:00:00,14.49,14.6,14.46,14.56,38230.25,14.56
2017-02-09 00:00:00,14.47,14.5,14.41,14.49,34567.48,14.49
2017-02-08 00:00:00,14.42,14.49,14.31,14.47,33864.93,14.47
2017-02-07 00:00:00,14.31,14.44,14.27,14.43,54515.83,14.43
2017-02-06 00:00:00,14.25,14.33,14.17,14.32,43803.04,14.32
2017-02-03 00:00:00,14.38,14.44,14.17,14.25,57032.93,14.25
2017-01-26 00:00:00,14.46,14.52,14.36,14.44,31833.55,14.44
2017-01-25 00:00:00,14.24,14.44,14.21,14.43,48761.46,14.43
2017-01-24 00:00:00,14.25,14.29,14.15,14.26,31049.57,14.26
2017-01-23 00:00:00,14.16,14.3,14.15,14.23,36801.63,14.23
2017-01-20 00:00:00,13.99,14.18,13.94,14.17,34965.2,14.17
2017-01-19 00:00:00,13.99,14.07,13.95,14.01,36654.57,14.01
2017-01-18 00:00:00,13.97,14.05,13.93,14.0,60333.38,14.0
2017-01-17 00:00:00,13.91,14.03,13.87,13.93,50506.98,13.93
2017-01-16 00:00:00,14.1,14.15,13.68,13.97,120196.47,13.97
2017-01-13 00:00:00,14.24,14.24,14.07,14.13,30025.32,14.13
2017-01-12 00:00:00,14.34,14.37,14.15,14.16,36373.91,14.16
2017-01-11 00:00:00,14.45,14.45,14.31,14.34,44597.47,14.34
2017-01-10 00:00:00,14.46,14.54,14.36,14.46,31989.67,14.46
2017-01-09 00:00:00,14.33,14.48,14.33,14.47,31775.96,14.47
2017-01-06 00:00:00,14.31,14.43,14.27,14.35,33515.62,14.35
2017-01-05 00:00:00,14.41,14.52,14.32,14.35,50442.7,14.35
2017-01-04 00:00:00,14.28,14.43,14.27,14.39,66272.99,14.39
2017-01-03 00:00:00,14.09,14.33,14.09,14.29,41070.92,14.29
2016-12-30 00:00:00,14.15,14.19,14.08,14.09,19316.55,14.09
2016-12-29 00:00:00,14.08,14.15,14.0,14.08,25777.09,14.08
2016-12-28 00:00:00,14.25,14.33,14.0,14.1,40180.45,14.1
2016-12-27 00:00:00,14.18,14.33,14.1,14.26,35881.3,14.26
2016-12-26 00:00:00,14.1,14.18,13.93,14.11,44171.88,14.11
2016-12-23 00:00:00,14.27,14.3,14.09,14.14,31965.32,14.14
2016-12-22 00:00:00,14.23,14.35,14.2,14.26,38608.33,14.26
2016-12-21 00:00:00,13.96,14.25,13.96,14.24,57055.24,14.24
2016-12-20 00:00:00,14.04,14.09,13.92,13.96,32400.56,13.96
2016-12-19 00:00:00,13.96,14.13,13.95,14.05,42693.72,14.05
2016-12-16 00:00:00,13.71,14.09,13.69,14.04,66541.44,14.04
2016-12-15 00:00:00,13.79,13.9,13.68,13.71,66572.82,13.71
2016-12-14 00:00:00,14.07,14.1,13.74,13.76,77857.6,13.76
2016-12-13 00:00:00,14.16,14.22,13.9,14.09,66539.62,14.09
2016-12-12 00:00:00,14.69,14.74,14.1,14.16,125293.62,14.16
2016-12-09 00:00:00,14.64,14.74,14.59,14.68,37921.35,14.68
2016-12-08 00:00:00,14.62,14.7,14.57,14.64,55830.03,14.64
2016-12-07 00:00:00,14.66,14.66,14.56,14.6,37791.73,14.6
2016-12-06 00:00:00,14.59,14.68,14.58,14.65,22072.38,14.64
2016-12-05 00:00:00,14.6,14.7,14.58,14.6,44059.04,14.61
2016-12-02 00:00:00,14.7,14.72,14.59,14.66,77478.88,14.67
2016-12-01 00:00:00,14.77,14.83,14.62,14.67,100383.45,14.66
2016-11-30 00:00:00,15.05,15.08,14.63,14.73,97710.49,14.71
2016-11-29 00:00:00,14.94,15.35,14.86,15.03,96846.45,15.02
2016-11-28 00:00:00,15.03,15.06,14.9,14.97,78508.53,14.95
2016-11-25 00:00:00,15.01,15.05,14.85,14.99,42176.37,15.0
2016-11-24 00:00:00,14.98,15.13,14.89,15.02,48599.75,15.01
2016-11-23 00:00:00,15.06,15.09,14.9,14.98,32872.69,14.95
2016-11-22 00:00:00,14.98,15.01,14.92,15.0,32040.64,15.01
2016-11-21 00:00:00,14.99,15.09,14.89,15.0,44558.37,14.98
2016-11-18 00:00:00,15.07,15.18,14.97,15.0,26745.9,15.0
2016-11-17 00:00:00,15.01,15.16,14.97,15.07,43554.74,15.09
2016-11-16 00:00:00,15.15,15.17,14.98,15.03,48728.36,15.01
2016-11-15 00:00:00,15.17,15.25,15.01,15.18,29059.8,15.14
2016-11-14 00:00:00,15.25,15.31,14.98,15.16,49618.59,15.17
2016-11-11 00:00:00,15.13,15.29,15.13,15.26,40289.67,15.26
2016-11-10 00:00:00,14.91,15.32,14.91,15.17,53486.84,15.17
2016-11-09 00:00:00,15.04,15.07,14.68,14.83,57193.86,14.83
2016-11-08 00:00:00,14.88,15.09,14.85,15.07,48127.56,15.05
2016-11-07 00:00:00,14.64,14.86,14.58,14.84,44579.06,14.84
2016-11-04 00:00:00,14.61,14.77,14.6,14.68,37865.26,14.68
2016-11-03 00:00:00,14.59,14.69,14.45,14.6,46418.23,14.58
2016-11-02 00:00:00,14.59,14.66,14.5,14.65,33944.9,14.65
2016-11-01 00:00:00,14.62,14.73,14.49,14.65,39000.52,14.65
2016-10-31 00:00:00,14.53,14.87,14.5,14.66,77765.37,14.64
2016-10-28 00:00:00,14.38,14.62,14.34,14.53,42488.53,14.5
2016-10-27 00:00:00,14.48,14.59,14.33,14.4,28415.47,14.38
2016-10-26 00:00:00,14.55,14.55,14.4,14.5,24077.85,14.48
2016-10-25 00:00:00,14.5,14.64,14.4,14.54,47484.27,14.55
2016-10-24 00:00:00,14.25,14.55,14.21,14.48,73680.81,14.47
2016-10-21 00:00:00,14.16,14.25,14.12,14.22,36568.6,14.23
2016-10-20 00:00:00,14.19,14.2,14.11,14.17,38160.51,14.17
2016-10-19 00:00:00,14.12,14.21,14.09,14.15,34233.15,14.15
2016-10-18 00:00:00,13.89,14.17,13.89,14.14,56451.22,14.14
2016-10-17 00:00:00,13.99,14.06,13.89,13.93,42773.29,13.9
2016-10-14 00:00:00,13.95,14.01,13.82,14.0,40312.29,14.0
2016-10-13 00:00:00,13.96,14.03,13.9,13.95,26700.33,13.95
2016-10-12 00:00:00,14.05,14.08,13.88,13.95,32718.93,13.96
2016-10-11 00:00:00,14.13,14.13,14.01,14.07,51351.47,14.06
2016-10-10 00:00:00,13.9,14.15,13.87,14.11,53468.22,14.1
2016-09-30 00:00:00,13.78,13.85,13.72,13.83,19801.38,13.82
2016-09-29 00:00:00,13.75,13.84,13.71,13.79,30314.2,13.78
2016-09-28 00:00:00,13.9,13.92,13.66,13.7,49470.84,13.7
2016-09-27 00:00:00,13.84,13.94,13.78,13.92,22288.33,13.91
2016-09-26 00:00:00,14.09,14.11,13.82,13.88,34822.69,13.86
2016-09-23 00:00:00,14.07,14.16,14.06,14.09,29586.2,14.09
2016-09-22 00:00:00,14.05,14.36,14.0,14.05,67873.62,14.05
2016-09-21 00:00:00,14.07,14.11,13.96,14.06,29936.07,14.04
2016-09-20 00:00:00,14.03,14.24,13.92,14.05,60325.05,14.05
2016-09-19 00:00:00,13.82,14.09,13.81,14.03,32924.53,14.03
2016-09-14 00:00:00,13.92,13.93,13.77,13.82,36926.35,13.81
2016-09-13 00:00:00,13.94,14.05,13.82,13.93,40849.43,13.93
2016-09-12 00:00:00,14.18,14.2,13.75,13.93,111675.8,13.93
2016-09-09 00:00:00,14.26,14.45,14.21,14.33,53761.58,14.36
2016-09-08 00:00:00,14.28,14.49,14.14,14.26,50129.89,14.26
2016-09-07 00:00:00,14.09,14.4,14.08,14.28,75364.35,14.28
2016-09-06 00:00:00,14.07,14.2,13.91,14.1,60627.04,14.09
2016-09-05 00:00:00,13.83,14.09,13.81,14.07,63501.63,14.07
2016-09-02 00:00:00,13.81,13.9,13.73,13.82,40861.45,13.82
2016-09-01 00:00:00,13.82,13.92,13.78,13.82,45651.31,13.81
2016-08-31 00:00:00,13.98,14.04,13.72,13.79,102629.38,13.8
2016-08-30 00:00:00,13.98,14.09,13.92,14.08,37078.27,14.06
2016-08-29 00:00:00,14.12,14.15,13.81,13.98,71155.07,
2016-08-26 00:00:00,14.22,14.43,14.12,14.2,74298.34,14.18
2016-08-25 00:00:00,13.93,14.25,13.81,14.21,125836.72,14.2
2016-08-24 00:00:00,13.69,13.99,13.69,13.93,104603.94,13.93
2016-08-23 00:00:00,13.64,13.83,13.63,13.68,40722.02,13.68
2016-08-22 00:00:00,13.56,13.84,13.53,13.66,102703.72,13.67
2016-08-19 00:00:00,13.55,13.62,13.37,13.54,67667.06,13.55
2016-08-18 00:00:00,13.49,13.64,13.45,13.49,67443.87,13.49
2016-08-17 00:00:00,13.39,13.52,13.37,13.49,66932.6,13.47
2016-08-16 00:00:00,13.55,13.81,13.33,13.37,179165.52,13.37
2016-08-15 00:00:00,13.26,13.66,13.26,13.54,127454.01,13.53
2016-08-12 00:00:00,12.9,13.31,12.88,13.31,74436.55,13.31
2016-08-11 00:00:00,13.05,13.09,12.86,12.91,62042.0,12.9
2016-08-10 00:00:00,13.21,13.22,13.01,13.05,49618.67,13.05
2016-08-09 00:00:00,13.07,13.26,13.06,13.2,47551.12,13.2
2016-08-08 00:00:00,13.09,13.12,12.88,13.08,66998.84,13.09
2016-08-05 00:00:00,13.2,13.25,13.14,13.18,40070.65,13.19
2016-08-04 00:00:00,13.47,13.58,13.4,13.49,48645.27,13.18
2016-08-03 00:00:00,13.38,13.54,13.33,13.5,46884.86,13.17
2016-08-02 00:00:00,13.42,13.48,13.24,13.4,43636.29,13.08
2016-08-01 00:00:00,13.52,13.57,13.33,13.42,75622.4,13.1
2016-07-29 00:00:00,13.76,13.9,13.53,13.56,86105.88,13.26
2016-07-28 00:00:00,13.51,13.86,13.41,13.79,112919.79,13.46
