Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26 00:00:00,9.0,9.01,8.96,8.99,382147.03,8.99
2017-04-25 00:00:00,8.93,9.01,8.93,9.0,377933.38,9.0
2017-04-24 00:00:00,8.97,8.98,8.89,8.93,394995.28,8.93
2017-04-21 00:00:00,8.92,8.99,8.9,8.97,325408.16,8.97
2017-04-20 00:00:00,8.9,8.94,8.89,8.92,437630.0,8.92
2017-04-19 00:00:00,9.03,9.04,8.9,8.91,799668.56,8.91
2017-04-18 00:00:00,9.09,9.1,9.05,9.05,335376.97,9.05
2017-04-17 00:00:00,9.08,9.11,9.05,9.1,531892.19,9.1
2017-04-14 00:00:00,9.11,9.12,9.06,9.08,490500.47,9.08
2017-04-13 00:00:00,9.11,9.14,9.1,9.12,357442.56,9.12
2017-04-12 00:00:00,9.16,9.17,9.1,9.12,455336.53,9.12
2017-04-11 00:00:00,9.17,9.19,9.09,9.15,612437.94,9.15
2017-04-10 00:00:00,9.2,9.21,9.17,9.18,401343.91,9.18
2017-04-07 00:00:00,9.19,9.22,9.17,9.2,514844.75,9.2
2017-04-06 00:00:00,9.2,9.22,9.17,9.2,434391.47,9.2
2017-04-05 00:00:00,9.16,9.22,9.15,9.21,499150.09,9.21
2017-03-31 00:00:00,9.08,9.18,9.08,9.17,633121.19,9.17
2017-03-30 00:00:00,9.12,9.12,9.06,9.08,687285.5,9.08
2017-03-29 00:00:00,9.13,9.15,9.09,9.11,601140.69,9.11
2017-03-28 00:00:00,9.16,9.17,9.1,9.12,481372.75,9.12
2017-03-27 00:00:00,9.12,9.19,9.08,9.14,985012.06,9.14
2017-03-24 00:00:00,9.2,9.24,9.16,9.19,710827.81,9.19
2017-03-23 00:00:00,9.16,9.24,9.15,9.2,433588.28,9.2
2017-03-22 00:00:00,9.2,9.22,9.14,9.16,566123.62,9.16
2017-03-21 00:00:00,9.25,9.26,9.2,9.24,554648.75,9.24
2017-03-20 00:00:00,9.29,9.31,9.22,9.25,715021.75,9.25
2017-03-17 00:00:00,9.45,9.46,9.3,9.31,1583647.0,9.31
2017-03-16 00:00:00,9.48,9.53,9.45,9.52,635953.81,9.52
2017-03-15 00:00:00,9.42,9.48,9.42,9.48,546560.88,9.48
2017-03-14 00:00:00,9.43,9.46,9.41,9.44,404484.38,9.44
2017-03-13 00:00:00,9.39,9.45,9.37,9.44,545304.44,9.44
2017-03-10 00:00:00,9.38,9.41,9.36,9.4,390182.25,9.4
2017-03-09 00:00:00,9.41,9.43,9.36,9.38,378169.91,9.38
2017-03-08 00:00:00,9.43,9.45,9.4,9.42,244438.41,9.42
2017-03-07 00:00:00,9.44,9.46,9.4,9.45,294672.81,9.45
2017-03-06 00:00:00,9.4,9.46,9.39,9.45,404511.38,9.45
2017-03-03 00:00:00,9.41,9.43,9.36,9.4,342655.09,9.4
2017-03-02 00:00:00,9.51,9.54,9.42,9.43,403628.72,9.43
2017-03-01 00:00:00,9.49,9.55,9.47,9.49,346993.72,9.49
2017-02-28 00:00:00,9.43,9.51,9.42,9.48,369719.69,9.48
2017-02-27 00:00:00,9.5,9.5,9.42,9.43,407341.12,9.43
2017-02-24 00:00:00,9.5,9.54,9.48,9.5,332500.12,9.5
2017-02-23 00:00:00,9.55,9.57,9.48,9.51,335327.81,9.51
2017-02-22 00:00:00,9.57,9.57,9.5,9.57,462966.12,9.57
2017-02-21 00:00:00,9.55,9.62,9.54,9.57,646584.19,9.57
2017-02-20 00:00:00,9.4,9.58,9.4,9.56,898755.38,9.56
2017-02-17 00:00:00,9.46,9.49,9.37,9.39,423774.97,9.39
2017-02-16 00:00:00,9.45,9.5,9.42,9.46,411161.12,9.46
2017-02-15 00:00:00,9.4,9.54,9.39,9.45,756613.06,9.45
2017-02-14 00:00:00,9.41,9.42,9.37,9.4,362404.59,9.4
2017-02-13 00:00:00,9.34,9.44,9.33,9.41,638364.75,9.41
2017-02-10 00:00:00,9.32,9.36,9.31,9.33,482743.25,9.33
2017-02-09 00:00:00,9.3,9.33,9.28,9.31,342855.12,9.31
2017-02-08 00:00:00,9.29,9.3,9.24,9.3,360272.41,9.3
2017-02-07 00:00:00,9.31,9.32,9.27,9.3,396884.97,9.3
2017-02-06 00:00:00,9.26,9.32,9.26,9.31,516786.12,9.31
2017-02-03 00:00:00,9.34,9.36,9.23,9.26,315472.25,9.26
2017-02-02 00:00:00,9.45,10.26,9.33,10.26,19345.0,
2017-01-26 00:00:00,9.27,9.34,9.26,9.33,420712.56,9.33
2017-01-25 00:00:00,9.27,9.28,9.25,9.26,304401.97,9.26
2017-01-24 00:00:00,9.23,9.28,9.2,9.27,470244.09,9.27
2017-01-23 00:00:00,9.22,9.26,9.2,9.22,420299.31,9.22
2017-01-20 00:00:00,9.17,9.23,9.17,9.22,393328.56,9.22
2017-01-19 00:00:00,9.15,9.24,9.15,9.18,437712.88,9.18
2017-01-18 00:00:00,9.14,9.19,9.13,9.17,574269.38,9.17
2017-01-17 00:00:00,9.12,9.16,9.1,9.15,545552.38,9.15
2017-01-16 00:00:00,9.15,9.16,9.07,9.14,683165.81,9.14
2017-01-13 00:00:00,9.14,9.19,9.12,9.16,434301.38,9.16
2017-01-12 00:00:00,9.13,9.17,9.13,9.15,428006.75,9.15
2017-01-11 00:00:00,9.14,9.17,9.13,9.14,303430.88,9.14
2017-01-10 00:00:00,9.15,9.16,9.14,9.15,241053.95,9.15
2017-01-09 00:00:00,9.13,9.17,9.11,9.15,361081.56,9.15
2017-01-06 00:00:00,9.17,9.17,9.11,9.13,358154.19,9.13
2017-01-05 00:00:00,9.17,9.18,9.15,9.17,344372.91,9.17
2017-01-04 00:00:00,9.15,9.18,9.14,9.16,449329.53,9.16
2017-01-03 00:00:00,9.11,9.18,9.09,9.16,459840.47,9.16
2016-12-30 00:00:00,9.08,9.1,9.06,9.1,302607.38,9.1
2016-12-29 00:00:00,9.07,9.09,9.05,9.08,338758.53,9.08
2016-12-28 00:00:00,9.08,9.11,9.04,9.06,336055.09,9.06
2016-12-27 00:00:00,9.12,9.13,9.07,9.08,268841.25,9.08
2016-12-26 00:00:00,9.06,9.13,9.02,9.12,302058.97,9.12
2016-12-23 00:00:00,9.14,9.14,9.07,9.08,382912.16,9.08
2016-12-22 00:00:00,9.15,9.16,9.11,9.14,341341.25,9.14
2016-12-21 00:00:00,9.12,9.16,9.11,9.16,369920.62,9.16
