Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,3132.92,3152.95,3131.42,3140.85,1698781.12,3140.85
2017-04-25,3123.89,3145.27,3117.45,3134.57,1534183.12,3134.57
2017-04-24,3164.25,3164.25,3111.21,3129.53,1862774.38,3129.53
2017-04-21,3170.29,3180.79,3158.63,3173.15,1647617.38,3173.15
2017-04-20,3165.67,3178.18,3148.18,3172.1,1908739.88,3172.1
2017-04-19,3184.67,3189.44,3147.07,3170.69,2132380.75,3170.69
2017-04-18,3215.4,3225.05,3196.49,3196.71,1886613.5,3196.71
2017-04-17,3229.95,3229.95,3199.91,3222.17,2127372.0,3222.17
2017-04-14,3276.14,3276.71,3238.9,3246.07,2145085.5,3246.07
2017-04-13,3265.22,3281.14,3261.49,3275.96,2073468.75,3275.96
2017-04-12,3283.84,3284.93,3262.28,3273.83,2693818.0,3273.83
2017-04-11,3266.22,3290.39,3244.4,3288.97,2812812.5,3288.97
2017-04-10,3285.46,3285.46,3265.01,3269.39,2326946.25,3269.39
2017-04-07,3280.62,3295.19,3275.05,3286.62,2361089.5,3286.62
2017-04-06,3272.19,3286.67,3265.76,3281.0,2452880.0,3281.0
2017-04-05,3235.66,3270.65,3233.24,3270.31,2483202.0,3270.31
2017-03-31,3206.25,3226.25,3205.54,3222.51,1964429.25,3222.51
2017-03-30,3235.14,3240.02,3195.85,3210.24,2471354.75,3210.24
2017-03-29,3252.87,3262.1,3233.28,3241.31,2161055.75,3241.31
2017-03-28,3265.63,3265.63,3246.09,3252.95,1617100.12,3252.95
2017-03-27,3268.92,3283.24,3262.12,3266.96,2018526.75,3266.96
2017-03-24,3247.35,3275.21,3241.12,3269.45,2197779.25,3269.45
2017-03-23,3245.81,3262.09,3221.93,3248.55,1930291.5,3248.55
2017-03-22,3246.22,3255.78,3229.13,3245.22,1897316.5,3245.22
2017-03-21,3250.25,3262.22,3246.7,3261.61,1627193.0,3261.61
2017-03-20,3241.11,3251.13,3228.12,3250.81,1705484.25,3250.81
2017-03-17,3271.87,3274.19,3232.28,3237.45,2005832.25,3237.45
2017-03-16,3247.16,3269.77,3247.16,3268.94,1894160.0,3268.94
2017-03-15,3235.4,3243.71,3227.74,3241.76,1440556.88,3241.76
2017-03-14,3235.25,3246.33,3231.52,3239.33,1469460.25,3239.33
2017-03-13,3209.45,3237.12,3193.16,3237.02,1636737.62,3237.02
